what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.context.ui",1310507975548
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.monitor.ui",1310507975549
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.tasks.ui",1310507975550
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.team.ui",1310507975555
started,bundle,org.jboss.tools.common,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common",1310507975562
started,bundle,org.jboss.tools.common.model,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model",1310507975563
started,bundle,org.jboss.tools.usage,1.0.0.v20110215-1224-H25-GA,"org.jboss.tools.usage",1310507975564
os,sysinfo,,,"linux",1310507975569
arch,sysinfo,,,"x86_64",1310507975569
ws,sysinfo,,,"gtk",1310507975569
locale,sysinfo,,,"en_IN",1310507975569
processors,sysinfo,,,"2",1310507975569
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1310507975569
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1310507975569
